bucket,clarification,discourse_filler,new_information,off_topic,redundant_repetition,useful_repetition
"keep
(p<0.70)",0.045511151364202425,0.07709724895279067,0.7636137212725008,0.07746518736556096,0.016160987207064416,0.020151703837880675
"prob. remove
(0.70–0.95)",0.11568754967844497,0.20890237733940314,0.2690945877592312,0.30486306814076164,0.03902016041621505,0.06243225666594407
"def. remove
(p≥0.95)",0.03763440860215054,0.2446236559139785,0.053763440860215055,0.6290322580645161,0.008064516129032258,0.026881720430107527
