method,video_id,genre,length_bucket,caption_type,threshold,compression,sbert_cosine,rouge1_r,rougeL_r,segs_kept,segs_total,pct_segments_removed,pct_words_removed
heuristic,-QTkPfq7w1A,commentary,long,unknown,0.6,0.6552,0.9654,,,34,57,40.35087719298246,34.48
heuristic,-QTkPfq7w1A,commentary,long,unknown,0.7,0.7977,0.9864,,,42,57,26.315789473684216,20.230000000000004
heuristic,-QTkPfq7w1A,commentary,long,unknown,0.8,0.9693,0.9952,,,52,57,8.771929824561408,3.069999999999995
heuristic,-QTkPfq7w1A,commentary,long,unknown,0.9,0.9955,0.9992,,,56,57,1.7543859649122862,0.44999999999999485
heuristic,-QTkPfq7w1A,commentary,long,unknown,0.95,1.0,1.0,,,57,57,0.0,0.0
model,-z8xocMBXTE,entertainment,long,unknown,0.5,0.661,0.977,0.6622,0.6622,61,124,50.806451612903224,33.9
model,-z8xocMBXTE,entertainment,long,unknown,0.6,0.7233,0.9808,0.7235,0.7235,69,124,44.35483870967742,27.669999999999995
model,-z8xocMBXTE,entertainment,long,unknown,0.7,0.8227,0.9902,0.8226,0.8226,84,124,32.25806451612904,17.73
model,-z8xocMBXTE,entertainment,long,unknown,0.8,0.8843,0.9936,0.8835,0.8835,96,124,22.580645161290324,11.570000000000002
model,-z8xocMBXTE,entertainment,long,unknown,0.9,0.9764,0.9994,0.9754,0.9754,118,124,4.8387096774193505,2.3599999999999954
model,-z8xocMBXTE,entertainment,long,unknown,0.95,1.0,1.0,1.0,1.0,124,124,0.0,0.0
tfidf,-z8xocMBXTE,entertainment,long,unknown,0.5,0.5466,0.9595,,,43,124,65.32258064516128,45.34
tfidf,-z8xocMBXTE,entertainment,long,unknown,0.6,0.6884,0.9726,,,61,124,50.806451612903224,31.16
tfidf,-z8xocMBXTE,entertainment,long,unknown,0.7,0.85,0.9885,,,87,124,29.838709677419352,15.000000000000002
tfidf,-z8xocMBXTE,entertainment,long,unknown,0.8,0.9531,0.998,,,109,124,12.096774193548388,4.690000000000005
tfidf,-z8xocMBXTE,entertainment,long,unknown,0.9,0.9926,0.9997,,,121,124,2.4193548387096753,0.7399999999999962
tfidf,-z8xocMBXTE,entertainment,long,unknown,0.95,0.995,0.9998,,,122,124,1.6129032258064502,0.5000000000000004
sbert,-z8xocMBXTE,entertainment,long,unknown,0.5,0.6421,0.9601,,,68,124,45.16129032258065,35.79
sbert,-z8xocMBXTE,entertainment,long,unknown,0.6,0.7336,0.9804,,,84,124,32.25806451612904,26.639999999999997
sbert,-z8xocMBXTE,entertainment,long,unknown,0.7,0.9014,0.9937,,,105,124,15.322580645161288,9.860000000000003
sbert,-z8xocMBXTE,entertainment,long,unknown,0.8,0.9469,0.9966,,,112,124,9.677419354838712,5.310000000000004
sbert,-z8xocMBXTE,entertainment,long,unknown,0.9,0.9906,0.9994,,,121,124,2.4193548387096753,0.9399999999999964
sbert,-z8xocMBXTE,entertainment,long,unknown,0.95,0.995,0.9997,,,122,124,1.6129032258064502,0.5000000000000004
heuristic,-z8xocMBXTE,entertainment,long,unknown,0.5,0.2881,0.9494,,,43,124,65.32258064516128,71.19
heuristic,-z8xocMBXTE,entertainment,long,unknown,0.6,0.44,0.9722,,,52,124,58.06451612903225,56.00000000000001
heuristic,-z8xocMBXTE,entertainment,long,unknown,0.7,0.6077,0.9842,,,65,124,47.58064516129033,39.23
heuristic,-z8xocMBXTE,entertainment,long,unknown,0.8,0.8542,0.9953,,,95,124,23.38709677419355,14.580000000000004
heuristic,-z8xocMBXTE,entertainment,long,unknown,0.9,0.9807,0.9993,,,118,124,4.8387096774193505,1.9299999999999984
heuristic,-z8xocMBXTE,entertainment,long,unknown,0.95,1.0,1.0,,,124,124,0.0,0.0
model,1nFNadfw028,commentary,long,unknown,0.5,0.8165,0.9802,0.8169,0.8169,41,61,32.786885245901644,18.35
model,1nFNadfw028,commentary,long,unknown,0.6,0.878,0.9851,0.8791,0.8791,46,61,24.590163934426236,12.2
model,1nFNadfw028,commentary,long,unknown,0.7,0.9093,0.9905,0.9122,0.9122,49,61,19.672131147540984,9.07
model,1nFNadfw028,commentary,long,unknown,0.8,0.9524,0.9935,0.9536,0.9536,53,61,13.11475409836066,4.759999999999998
model,1nFNadfw028,commentary,long,unknown,0.9,0.9841,0.9972,0.9842,0.9842,57,61,6.5573770491803245,1.5900000000000025
model,1nFNadfw028,commentary,long,unknown,0.95,0.9916,0.9989,0.9913,0.9913,59,61,3.2786885245901676,0.8399999999999963
tfidf,1nFNadfw028,commentary,long,unknown,0.5,0.5931,0.9618,,,24,61,60.65573770491803,40.690000000000005
tfidf,1nFNadfw028,commentary,long,unknown,0.6,0.7832,0.9819,,,38,61,37.704918032786885,21.68
tfidf,1nFNadfw028,commentary,long,unknown,0.7,0.9473,0.9933,,,52,61,14.754098360655743,5.269999999999997
tfidf,1nFNadfw028,commentary,long,unknown,0.8,0.9808,0.9964,,,56,61,8.196721311475407,1.9199999999999995
tfidf,1nFNadfw028,commentary,long,unknown,0.9,0.9808,0.9964,,,56,61,8.196721311475407,1.9199999999999995
tfidf,1nFNadfw028,commentary,long,unknown,0.95,0.9841,0.9972,,,57,61,6.5573770491803245,1.5900000000000025
sbert,1nFNadfw028,commentary,long,unknown,0.5,0.7855,0.9877,,,40,61,34.42622950819673,21.450000000000003
sbert,1nFNadfw028,commentary,long,unknown,0.6,0.9387,0.9931,,,52,61,14.754098360655743,6.130000000000003
sbert,1nFNadfw028,commentary,long,unknown,0.7,0.9747,0.9964,,,56,61,8.196721311475407,2.529999999999999
sbert,1nFNadfw028,commentary,long,unknown,0.8,1.0,1.0,,,61,61,0.0,0.0
sbert,1nFNadfw028,commentary,long,unknown,0.9,1.0,1.0,,,61,61,0.0,0.0
sbert,1nFNadfw028,commentary,long,unknown,0.95,1.0,1.0,,,61,61,0.0,0.0
heuristic,1nFNadfw028,commentary,long,unknown,0.5,0.362,0.9363,,,20,61,67.21311475409837,63.800000000000004
heuristic,1nFNadfw028,commentary,long,unknown,0.6,0.3924,0.9481,,,23,61,62.295081967213115,60.75999999999999
heuristic,1nFNadfw028,commentary,long,unknown,0.7,0.6067,0.9763,,,32,61,47.540983606557376,39.33
heuristic,1nFNadfw028,commentary,long,unknown,0.8,0.8586,0.993,,,48,61,21.311475409836067,14.139999999999997
heuristic,1nFNadfw028,commentary,long,unknown,0.9,0.9916,0.9989,,,59,61,3.2786885245901676,0.8399999999999963
heuristic,1nFNadfw028,commentary,long,unknown,0.95,0.9916,0.9989,,,59,61,3.2786885245901676,0.8399999999999963
model,1wsF9GpGd00,lectures,short,unknown,0.5,0.913,0.9904,0.9145,0.9145,9,11,18.181818181818176,8.699999999999996
model,1wsF9GpGd00,lectures,short,unknown,0.6,0.9513,0.9937,0.9522,0.9522,10,11,9.090909090909093,4.8699999999999966
model,1wsF9GpGd00,lectures,short,unknown,0.7,0.9513,0.9937,0.9522,0.9522,10,11,9.090909090909093,4.8699999999999966
model,1wsF9GpGd00,lectures,short,unknown,0.8,0.9513,0.9937,0.9522,0.9522,10,11,9.090909090909093,4.8699999999999966
model,1wsF9GpGd00,lectures,short,unknown,0.9,1.0,1.0,1.0,1.0,11,11,0.0,0.0
model,1wsF9GpGd00,lectures,short,unknown,0.95,1.0,1.0,1.0,1.0,11,11,0.0,0.0
tfidf,1wsF9GpGd00,lectures,short,unknown,0.5,0.7655,0.977,,,7,11,36.36363636363637,23.450000000000003
tfidf,1wsF9GpGd00,lectures,short,unknown,0.6,0.7655,0.977,,,7,11,36.36363636363637,23.450000000000003
tfidf,1wsF9GpGd00,lectures,short,unknown,0.7,0.9189,0.9908,,,9,11,18.181818181818176,8.109999999999996
tfidf,1wsF9GpGd00,lectures,short,unknown,0.8,0.9189,0.9908,,,9,11,18.181818181818176,8.109999999999996
tfidf,1wsF9GpGd00,lectures,short,unknown,0.9,0.9189,0.9908,,,9,11,18.181818181818176,8.109999999999996
tfidf,1wsF9GpGd00,lectures,short,unknown,0.95,0.9189,0.9908,,,9,11,18.181818181818176,8.109999999999996
sbert,1wsF9GpGd00,lectures,short,unknown,0.5,0.9513,0.9937,,,10,11,9.090909090909093,4.8699999999999966
sbert,1wsF9GpGd00,lectures,short,unknown,0.6,1.0,1.0,,,11,11,0.0,0.0
sbert,1wsF9GpGd00,lectures,short,unknown,0.7,1.0,1.0,,,11,11,0.0,0.0
sbert,1wsF9GpGd00,lectures,short,unknown,0.8,1.0,1.0,,,11,11,0.0,0.0
sbert,1wsF9GpGd00,lectures,short,unknown,0.9,1.0,1.0,,,11,11,0.0,0.0
sbert,1wsF9GpGd00,lectures,short,unknown,0.95,1.0,1.0,,,11,11,0.0,0.0
heuristic,1wsF9GpGd00,lectures,short,unknown,0.5,0.6165,0.9799,,,7,11,36.36363636363637,38.349999999999994
heuristic,1wsF9GpGd00,lectures,short,unknown,0.6,0.6593,0.9884,,,8,11,27.27272727272727,34.07
heuristic,1wsF9GpGd00,lectures,short,unknown,0.7,0.8466,0.9927,,,9,11,18.181818181818176,15.339999999999998
heuristic,1wsF9GpGd00,lectures,short,unknown,0.8,0.9513,0.9937,,,10,11,9.090909090909093,4.8699999999999966
heuristic,1wsF9GpGd00,lectures,short,unknown,0.9,1.0,1.0,,,11,11,0.0,0.0
heuristic,1wsF9GpGd00,lectures,short,unknown,0.95,1.0,1.0,,,11,11,0.0,0.0
model,2IdtqGM6KWU,lectures,long,unknown,0.5,0.9156,0.9956,0.9153,0.9153,23,27,14.814814814814813,8.440000000000003
model,2IdtqGM6KWU,lectures,long,unknown,0.6,1.0,1.0,1.0,1.0,27,27,0.0,0.0
model,2IdtqGM6KWU,lectures,long,unknown,0.7,1.0,1.0,1.0,1.0,27,27,0.0,0.0
model,2IdtqGM6KWU,lectures,long,unknown,0.8,1.0,1.0,1.0,1.0,27,27,0.0,0.0
model,2IdtqGM6KWU,lectures,long,unknown,0.9,1.0,1.0,1.0,1.0,27,27,0.0,0.0
model,2IdtqGM6KWU,lectures,long,unknown,0.95,1.0,1.0,1.0,1.0,27,27,0.0,0.0
tfidf,2IdtqGM6KWU,lectures,long,unknown,0.5,0.2475,0.8861,,,4,27,85.18518518518519,75.25
tfidf,2IdtqGM6KWU,lectures,long,unknown,0.6,0.4994,0.962,,,10,27,62.96296296296296,50.059999999999995
tfidf,2IdtqGM6KWU,lectures,long,unknown,0.7,0.7907,0.9867,,,18,27,33.333333333333336,20.930000000000003
tfidf,2IdtqGM6KWU,lectures,long,unknown,0.8,0.9543,0.9965,,,24,27,11.111111111111116,4.569999999999997
tfidf,2IdtqGM6KWU,lectures,long,unknown,0.9,0.9677,0.9977,,,25,27,7.4074074074074066,3.2299999999999995
tfidf,2IdtqGM6KWU,lectures,long,unknown,0.95,0.9859,0.9993,,,26,27,3.703703703703709,1.4100000000000001
sbert,2IdtqGM6KWU,lectures,long,unknown,0.5,0.8636,0.9859,,,23,27,14.814814814814813,13.639999999999997
sbert,2IdtqGM6KWU,lectures,long,unknown,0.6,0.923,0.9916,,,24,27,11.111111111111116,7.699999999999996
sbert,2IdtqGM6KWU,lectures,long,unknown,0.7,0.956,0.9954,,,25,27,7.4074074074074066,4.400000000000004
sbert,2IdtqGM6KWU,lectures,long,unknown,0.8,1.0,1.0,,,27,27,0.0,0.0
sbert,2IdtqGM6KWU,lectures,long,unknown,0.9,1.0,1.0,,,27,27,0.0,0.0
sbert,2IdtqGM6KWU,lectures,long,unknown,0.95,1.0,1.0,,,27,27,0.0,0.0
heuristic,2IdtqGM6KWU,lectures,long,unknown,0.5,0.1069,0.8516,,,3,27,88.88888888888889,89.31
heuristic,2IdtqGM6KWU,lectures,long,unknown,0.6,0.3196,0.9337,,,7,27,74.07407407407408,68.04
heuristic,2IdtqGM6KWU,lectures,long,unknown,0.7,0.5568,0.9751,,,13,27,51.85185185185186,44.32000000000001
heuristic,2IdtqGM6KWU,lectures,long,unknown,0.8,0.8903,0.9948,,,22,27,18.518518518518523,10.970000000000002
